source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,signal_family_count_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,y_phishing,split
vp_36646_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36647_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36648_case_001,0,0,0,1,1,0,0,2,0,3,0,0,1,test
vp_36649_case_001,1,1,1,0,0,0,0,5,0,5,1,0,1,train
vp_36650_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36650_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36651_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36651_case_002,0,1,0,1,0,0,0,1,0,2,0,0,1,train
vp_36651_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36652_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36652_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36652_case_003,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36653_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36653_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36654_case_001,1,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36654_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36655_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36656_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36657_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36658_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36658_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36658_case_003,0,0,0,0,0,0,0,1,0,1,0,0,1,validation
vp_36658_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36658_case_005,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36659_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36659_case_002,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36659_case_003,0,0,0,1,0,0,0,3,0,4,0,0,1,validation
vp_36659_case_004,0,0,0,1,0,0,0,1,0,2,0,0,1,train
vp_36659_case_005,0,0,0,0,1,0,1,1,1,2,0,0,1,test
vp_36660_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36660_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
