연도,월,지역,분류축,분류값,지표,값,단위,시간단위,월_결측유형,출처파일
2018,,전국,성별,남성,피해자수,17673,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2018,,전국,성별,여성,피해자수,16459,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2018,,전국,연령대,20대이하,피해자수,4480,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2018,,전국,연령대,30대,피해자수,6483,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2018,,전국,연령대,40대,피해자수,9842,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2018,,전국,연령대,50대,피해자수,9313,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2018,,전국,연령대,60대,피해자수,3389,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2018,,전국,연령대,70대이상,피해자수,625,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2018,,전남,전체,전체,발생건수,407,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,전북,전체,전체,발생건수,771,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,제주,전체,전체,발생건수,488,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,충남,전체,전체,발생건수,1649,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,충북,전체,전체,발생건수,704,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,1,전국,전체,전체,발생건수,3529,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,2,전국,전체,전체,발생건수,2419,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,3,전국,전체,전체,발생건수,3967,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,4,전국,전체,전체,발생건수,3540,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,5,전국,전체,전체,발생건수,3329,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,6,전국,전체,전체,발생건수,3044,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,7,전국,전체,전체,발생건수,3132,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,8,전국,전체,전체,발생건수,2885,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,9,전국,전체,전체,발생건수,2482,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,10,전국,전체,전체,발생건수,2674,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,11,전국,전체,전체,발생건수,3214,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,12,전국,전체,전체,발생건수,3452,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2019,,강원,전체,전체,발생건수,1345,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,경기남부,전체,전체,발생건수,6990,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,경기북부,전체,전체,발생건수,2443,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,경남,전체,전체,발생건수,1425,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,경북,전체,전체,발생건수,2097,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,광주,전체,전체,발생건수,358,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,대구,전체,전체,발생건수,1282,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,대전,전체,전체,발생건수,1434,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,부산,전체,전체,발생건수,2032,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,서울,전체,전체,발생건수,10494,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,세종,전체,전체,발생건수,117,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,울산,전체,전체,발생건수,982,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,인천,전체,전체,발생건수,2260,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,전국,사기유형,기관사칭형,검거인원,6045,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,기관사칭형,발생건수,7219,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,기관사칭형,피해액,2506,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,대출사기형,검거인원,42668,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,대출사기형,발생건수,30448,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,사기유형,대출사기형,피해액,3892,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,성별,남성,피해자수,21424,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2019,,전국,성별,여성,피해자수,16243,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2019,,전국,연령대,20대이하,피해자수,3855,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2019,,전국,연령대,30대,피해자수,6041,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2019,,전국,연령대,40대,피해자수,10264,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2019,,전국,연령대,50대,피해자수,11825,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2019,,전국,연령대,60대,피해자수,4617,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2019,,전국,연령대,70대이상,피해자수,1065,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2019,,전남,전체,전체,발생건수,616,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,전북,전체,전체,발생건수,970,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,제주,전체,전체,발생건수,565,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,충남,전체,전체,발생건수,1281,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2019,,충북,전체,전체,발생건수,976,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,1,전국,전체,전체,발생건수,2797,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,2,전국,전체,전체,발생건수,2173,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,3,전국,전체,전체,발생건수,2651,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,4,전국,전체,전체,발생건수,2711,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,5,전국,전체,전체,발생건수,2969,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,6,전국,전체,전체,발생건수,2749,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,7,전국,전체,전체,발생건수,2676,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,8,전국,전체,전체,발생건수,2288,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,9,전국,전체,전체,발생건수,2577,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,10,전국,전체,전체,발생건수,1893,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,11,전국,전체,전체,발생건수,3014,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,12,전국,전체,전체,발생건수,3183,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,,강원,전체,전체,발생건수,1139,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,경기남부,전체,전체,발생건수,5953,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,경기북부,전체,전체,발생건수,1851,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,경남,전체,전체,발생건수,1205,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,경북,전체,전체,발생건수,1372,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,광주,전체,전체,발생건수,715,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,대구,전체,전체,발생건수,1003,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,대전,전체,전체,발생건수,1014,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,부산,전체,전체,발생건수,1804,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,서울,전체,전체,발생건수,9049,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,세종,전체,전체,발생건수,83,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,울산,전체,전체,발생건수,619,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,인천,전체,전체,발생건수,2048,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2020,,전국,사기유형,기관사칭형,검거인원,4797,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,기관사칭형,발생건수,7844,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,기관사칭형,피해액,2144,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,대출사기형,검거인원,34527,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,대출사기형,발생건수,23837,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,대출사기형,피해액,4856,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,성별,남성,피해자수,17293,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2020,,전국,성별,여성,피해자수,14388,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2020,,전국,연령대,20대이하,피해자수,5323,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2020,,전국,연령대,30대,피해자수,4406,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2020,,전국,연령대,40대,피해자수,7704,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2020,,전국,연령대,50대,피해자수,9217,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2020,,전국,연령대,60대,피해자수,4188,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
