분류,게시글ID,제목,게시글URL,미디어URL,상태,파일,오류
바로 이 목소리,18313,6차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 1530 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18313&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=2155bc7c0d0149f3889b7f205d8276d1&atchFileId=61c1ce414cad8b861ee28cddad5c7418&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18313_6차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 1530 회.mp4,
바로 이 목소리,18312,9차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 1779 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18312&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=07c7a0c09a4b4e9ab754c0b61abbd8d9&atchFileId=490969997e092dc032a9c5c26416a677&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18312_9차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 1779 회.mp4,
바로 이 목소리,18311,4차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 1894 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18311&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=49e2f94f074b4656898e98b26d798a1e&atchFileId=95917dbd5b7bd62dae528cbcbae2b88c&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18311_4차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 1894 회.mp4,
바로 이 목소리,18310,4차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 1519 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18310&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=53703726f9914b16a6df1c057383d97d&atchFileId=a413c6ca3b082cec53434b38722c948c&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18310_4차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 1519 회.mp4,
바로 이 목소리,18309,4차례 신고된 여성 전화금융사기범 음성 2021-05-04 | 1921 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18309&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=5badbbb4ca8746d3bb9b66ebc77aff30&atchFileId=d3e4dc683a92ea7385395762059155bc&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18309_4차례 신고된 여성 전화금융사기범 음성 2021-05-04 _ 1921 회.mp4,
바로 이 목소리,18308,10차례 신고된 여성 전화금융사기범 음성 2021-05-04 | 1985 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18308&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=471115600ad04450a5162b5ee75e4eb3&atchFileId=0cdcc9da35c9236a64e80282cdb2429c&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18308_10차례 신고된 여성 전화금융사기범 음성 2021-05-04 _ 1985 회.mp4,
바로 이 목소리,18307,6차례 신고된 남성 전화금융사기범 음성 3 2020-01-06 | 13644 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18307&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=8fc07de2782e44ceb79f22509f08dec1&atchFileId=94aaa977d41d5da9a34141b3ae918821&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18307_6차례 신고된 남성 전화금융사기범 음성 3 2020-01-06 _ 13644 회.mp4,
바로 이 목소리,18306,6차례 신고된 남성 전화금융사기범 음성 2 2020-01-06 | 6188 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18306&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=d25d92f7efc940ed86adef71d7bbbd0d&atchFileId=6b42ec7371b801d19ddd1a6bcea62b1d&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18306_6차례 신고된 남성 전화금융사기범 음성 2 2020-01-06 _ 6188 회.mp4,
바로 이 목소리,18305,6차례 신고된 남성 전화금융사기범 음성 1 2020-01-06 | 4468 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18305&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=ae347d0365d94dc6a455e7e2db1e5710&atchFileId=c08368116d07bd240b87c3e9eb5609ae&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18305_6차례 신고된 남성 전화금융사기범 음성 1 2020-01-06 _ 4468 회.mp4,
바로 이 목소리,18304,5차례 신고된 남성 전화금융사기범 음성 5 2020-01-06 | 4401 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18304&menuNo=200686&pageIndex=5,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=a9be4ceb21474f8e8d1fa7042c548734&atchFileId=716062dc2620a6a5b813b2e81d550cac&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18304_5차례 신고된 남성 전화금융사기범 음성 5 2020-01-06 _ 4401 회.mp4,
바로 이 목소리,18303,5차례 신고된 남성 전화금융사기범 음성 4 2020-01-06 | 4700 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18303&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=a8dd605dd9a242729979c0ee02257719&atchFileId=192094834b88c493e0aeb52b76a4ba46&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18303_5차례 신고된 남성 전화금융사기범 음성 4 2020-01-06 _ 4700 회.mp4,
바로 이 목소리,18302,5차례 신고된 남성 전화금융사기범 음성 3 2020-01-06 | 4013 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18302&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=902b6967d23340e09533aa08b07c7d77&atchFileId=5b88c4b14cd5518986c836b75bd166e2&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18302_5차례 신고된 남성 전화금융사기범 음성 3 2020-01-06 _ 4013 회.mp4,
바로 이 목소리,18301,5차례 신고된 남성 전화금융사기범 음성 2 2020-01-06 | 2558 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18301&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=dc5d775f8b894b9fba51d26c92413485&atchFileId=bc8a51c4c4192487e6c22aaea822b58a&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18301_5차례 신고된 남성 전화금융사기범 음성 2 2020-01-06 _ 2558 회.mp4,
바로 이 목소리,18300,5차례 신고된 남성 전화금융사기범 음성 1 2020-01-06 | 2989 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18300&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=a6a9f7f82abb4dd0ac4bd4ce85d0cc17&atchFileId=3807b49bd83c3b7630b33180a18957ac&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18300_5차례 신고된 남성 전화금융사기범 음성 1 2020-01-06 _ 2989 회.mp4,
바로 이 목소리,18299,4차례 신고된 여성 전화금융사기범 음성 2 2020-01-06 | 2781 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18299&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=6f6d99a801b446d8ad562474e15a52c7&atchFileId=bc5e944083c0d061541456b13da8e12a&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18299_4차례 신고된 여성 전화금융사기범 음성 2 2020-01-06 _ 2781 회.mp4,
바로 이 목소리,18298,4차례 신고된 여성 전화금융사기범 음성 1 2020-01-06 | 2624 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18298&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=bc7b5baf66774afb84c8b3d4c2f5298a&atchFileId=04e3a3bbd630d7e92ab2d2450ee6db56&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18298_4차례 신고된 여성 전화금융사기범 음성 1 2020-01-06 _ 2624 회.mp4,
바로 이 목소리,18297,4차례 신고된 남성 전화금융사기범 음성 7 2020-01-06 | 2016 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18297&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=819bf98d75d149eb93797d4de2aa9d8b&atchFileId=6561099e57d13688120b261bea7d6315&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18297_4차례 신고된 남성 전화금융사기범 음성 7 2020-01-06 _ 2016 회.mp4,
바로 이 목소리,18296,4차례 신고된 남성 전화금융사기범 음성 6 2020-01-06 | 2055 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18296&menuNo=200686&pageIndex=6,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=34373cb41f61410597c05cda3f9b2691&atchFileId=3824a33269753ce1c654278a0b7c7802&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18296_4차례 신고된 남성 전화금융사기범 음성 6 2020-01-06 _ 2055 회.mp4,
바로 이 목소리,18295,4차례 신고된 남성 전화금융사기범 음성 5 2020-01-06 | 1890 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18295&menuNo=200686&pageIndex=7,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=98775916e0b446f79f9ee1e48644e3ac&atchFileId=022eea52ac57b5b0ee7d17bb8e1a2a32&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18295_4차례 신고된 남성 전화금융사기범 음성 5 2020-01-06 _ 1890 회.mp4,
