연도,월,지역,분류축,분류값,지표,값,단위,출처파일
2019,,전국,사기유형,대출사기형,피해액,3892,억원,경찰청_보이스피싱 현황_20251231.csv
2019,,전국,성별,남성,피해자수,21424,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2019,,전국,성별,여성,피해자수,16243,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2019,,전국,연령대,20대이하,피해자수,3855,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2019,,전국,연령대,30대,피해자수,6041,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2019,,전국,연령대,40대,피해자수,10264,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2019,,전국,연령대,50대,피해자수,11825,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2019,,전국,연령대,60대,피해자수,4617,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2019,,전국,연령대,70대이상,피해자수,1065,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2020,1,전국,전체,전체,발생건수,2797,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,2,전국,전체,전체,발생건수,2173,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,3,전국,전체,전체,발생건수,2651,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,4,전국,전체,전체,발생건수,2711,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,5,전국,전체,전체,발생건수,2969,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,6,전국,전체,전체,발생건수,2749,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,7,전국,전체,전체,발생건수,2676,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,8,전국,전체,전체,발생건수,2288,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,9,전국,전체,전체,발생건수,2577,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,10,전국,전체,전체,발생건수,1893,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,11,전국,전체,전체,발생건수,3014,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,12,전국,전체,전체,발생건수,3183,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2020,,전국,사기유형,기관사칭형,검거인원,4797,명,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,기관사칭형,발생건수,7844,건,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,기관사칭형,피해액,2144,억원,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,대출사기형,검거인원,34527,명,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,대출사기형,발생건수,23837,건,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,사기유형,대출사기형,피해액,4856,억원,경찰청_보이스피싱 현황_20251231.csv
2020,,전국,성별,남성,피해자수,17293,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2020,,전국,성별,여성,피해자수,14388,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2020,,전국,연령대,20대이하,피해자수,5323,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2020,,전국,연령대,30대,피해자수,4406,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2020,,전국,연령대,40대,피해자수,7704,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2020,,전국,연령대,50대,피해자수,9217,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2020,,전국,연령대,60대,피해자수,4188,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2020,,전국,연령대,70대이상,피해자수,843,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2021,1,전국,전체,전체,발생건수,3187,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,2,전국,전체,전체,발생건수,2417,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,3,전국,전체,전체,발생건수,4017,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,4,전국,전체,전체,발생건수,2808,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,5,전국,전체,전체,발생건수,2406,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,6,전국,전체,전체,발생건수,2979,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,7,전국,전체,전체,발생건수,2588,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,8,전국,전체,전체,발생건수,2414,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,9,전국,전체,전체,발생건수,1812,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,10,전국,전체,전체,발생건수,1881,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,11,전국,전체,전체,발생건수,2137,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,12,전국,전체,전체,발생건수,2336,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2021,,전국,사기유형,기관사칭형,검거인원,1895,명,경찰청_보이스피싱 현황_20251231.csv
2021,,전국,사기유형,기관사칭형,발생건수,7017,건,경찰청_보이스피싱 현황_20251231.csv
2021,,전국,사기유형,기관사칭형,피해액,1741,억원,경찰청_보이스피싱 현황_20251231.csv
2021,,전국,사기유형,대출사기형,검거인원,24502,명,경찰청_보이스피싱 현황_20251231.csv
2021,,전국,사기유형,대출사기형,발생건수,23965,건,경찰청_보이스피싱 현황_20251231.csv
2021,,전국,사기유형,대출사기형,피해액,6003,억원,경찰청_보이스피싱 현황_20251231.csv
2021,,전국,성별,남성,피해자수,17027,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2021,,전국,성별,여성,피해자수,13955,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2021,,전국,연령대,20대이하,피해자수,5459,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2021,,전국,연령대,30대,피해자수,3299,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2021,,전국,연령대,40대,피해자수,6755,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2021,,전국,연령대,50대,피해자수,9564,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2021,,전국,연령대,60대,피해자수,4778,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2021,,전국,연령대,70대이상,피해자수,1127,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2022,1,전국,전체,전체,발생건수,2044,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,2,전국,전체,전체,발생건수,1750,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,3,전국,전체,전체,발생건수,2067,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,4,전국,전체,전체,발생건수,2497,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,5,전국,전체,전체,발생건수,2349,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,6,전국,전체,전체,발생건수,1694,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,7,전국,전체,전체,발생건수,1796,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,8,전국,전체,전체,발생건수,1895,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,9,전국,전체,전체,발생건수,1284,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,10,전국,전체,전체,발생건수,1407,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,11,전국,전체,전체,발생건수,1696,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,12,전국,전체,전체,발생건수,1353,건,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2022,,전국,사기유형,기관사칭형,검거인원,4500,명,경찰청_보이스피싱 현황_20251231.csv
2022,,전국,사기유형,기관사칭형,발생건수,8930,건,경찰청_보이스피싱 현황_20251231.csv
